EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1512456774311,-1,-1,2,2,2,2,2,2,1
1512462898469,-1,-1,2,2,2,2,2,2,1
1512463798921,-1,-1,2,2,2,2,2,2,1
1512467183258,-1,2,2,-1,2,2,2,2,1
1512467367571,-1,-1,3,2,3,2,2,2,1
1512478734973,-1,-1,2,2,2,2,2,2,1
1512478794344,-1,-1,2,2,2,2,2,2,1
1512479716138,-1,-1,2,2,2,2,2,2,1
1512485644987,-1,-1,2,2,2,2,2,2,1
1512485853870,-1,-1,2,2,2,2,2,2,1
1512485885036,-1,-1,2,2,2,2,2,2,1
1512544048008,-1,-1,-1,-1,-1,-1,2,2,1
1512546809036,-1,-1,2,2,2,2,2,2,1
1512547928471,-1,-1,2,2,2,2,2,2,1
1512547945304,-1,-1,2,2,2,2,2,2,1
1512553114492,-1,-1,2,2,2,2,2,2,1
1512553611580,-1,-1,2,2,2,2,2,2,0
1512553761918,-1,-1,2,2,2,2,2,2,0
1512554011540,-1,-1,2,2,2,2,2,2,0
1512560349685,-1,-1,2,2,2,2,2,2,1
1512565790287,-1,-1,2,2,2,2,2,2,1
1512571903667,-1,2,2,-1,2,2,2,3,1
1512577824177,-1,-1,3,2,2,2,2,2,1
1512627760995,-1,-1,2,2,2,2,2,2,1
1512630060813,-1,-1,2,2,2,2,2,2,1
1512631030015,-1,-1,2,2,2,2,2,2,1
1512633578051,-1,-1,2,2,2,2,2,2,1
1512636520173,-1,-1,2,3,3,2,2,2,1
1512642322158,-1,2,2,-1,3,2,2,2,1
1512642340357,-1,2,2,-1,3,2,2,2,1
1512642507155,-1,-1,2,2,2,2,2,2,1
1512645281255,-1,-1,-1,-1,2,2,2,2,1
1512646209740,-1,-1,2,2,2,2,2,2,1
1512648141822,-1,-1,2,2,2,2,2,2,0
1512648165965,-1,-1,2,2,2,2,2,2,1
1512653335753,-1,2,-1,2,2,2,2,3,1
1512885246496,-1,-1,3,-1,3,2,2,2,1
1512895451088,-1,-1,2,2,2,2,2,2,1
1512895721678,-1,-1,2,2,2,2,2,2,1
1512896176609,-1,-1,2,2,2,2,2,2,0
1512896878373,-1,-1,2,2,2,2,2,2,1
1512899458693,-1,-1,2,2,2,2,2,2,1
1512914308512,-1,-1,2,2,2,2,2,2,1
1512915958528,-1,-1,3,3,-1,2,2,2,1
1512918500417,-1,-1,-1,-1,2,2,2,2,1
1512980604291,-1,-1,2,2,2,2,2,2,1
1512985853773,-1,-1,2,2,2,2,2,2,1
1512986331527,-1,-1,2,2,2,2,2,2,1
1512994028977,-1,2,2,2,2,2,2,2,1
1512998947124,-1,-1,3,2,3,2,2,2,1
1512999301183,-1,-1,2,2,2,2,2,2,1
1512999645009,-1,-1,2,2,2,2,2,2,1
1513063540231,-1,-1,2,2,2,2,2,2,1
1513064144890,-1,-1,2,2,2,2,2,2,1
1513066337678,-1,-1,2,2,2,2,2,2,1
1513066366143,-1,-1,2,2,2,2,2,2,1
1513066381450,-1,-1,2,2,2,2,2,2,1
1513066847117,-1,-1,-1,-1,-1,-1,-1,2,0
1513066900972,-1,-1,2,2,2,2,2,2,1
1513067105652,-1,-1,2,2,2,2,2,2,1
1513068407143,-1,-1,-1,-1,-1,-1,2,2,0
1513070967317,-1,-1,2,2,2,2,2,1,1
1513071762210,-1,-1,2,2,2,2,2,2,1
1513072314476,-1,-1,2,2,2,2,2,2,1
1513073583613,-1,-1,-1,-1,-1,-1,2,2,0
1513077122525,-1,2,2,-1,3,-1,2,2,1
1513081082271,-1,-1,2,2,2,2,2,2,1
1513083294053,-1,-1,3,2,3,2,2,2,1
1513084871498,-1,-1,2,-1,2,2,2,2,1
1513089922789,-1,-1,2,2,2,2,2,2,1
1513145671506,-1,-1,2,2,2,2,2,2,1
1513151092476,-1,-1,-1,-1,-1,-1,2,2,1
1513154153172,-1,-1,3,2,2,2,2,2,1
1513155240041,-1,-1,2,2,2,2,2,2,1
1513155267388,-1,-1,2,2,2,2,2,2,1
1513155407167,-1,-1,2,2,2,2,2,2,1
1513156408065,-1,-1,2,2,2,2,2,2,1
1513156606445,-1,-1,2,2,2,2,2,2,1
1513158303854,-1,-1,2,2,2,2,2,2,1
1513162980207,-1,2,2,-1,2,2,2,3,0
1513171185681,-1,-1,2,-1,2,2,2,2,1
1513176262289,-1,-1,-1,-1,2,2,2,2,1
1513184237869,-1,-1,2,2,2,2,2,2,1
1513237905208,-1,-1,2,2,2,2,2,2,0
1513246535079,-1,-1,3,2,3,2,2,2,1
1513249742180,-1,2,2,-1,2,2,2,2,1
1513250201579,-1,2,2,-1,2,2,2,2,1
1513251609828,-1,-1,-1,2,2,-1,2,2,0
1513260597469,-1,-1,2,2,2,2,2,2,1
1513261488332,-1,-1,2,2,2,2,2,2,1
1513502138923,-1,-1,2,-1,2,-1,2,2,1
1513502164501,-1,-1,-1,-1,-1,-1,-1,2,1
1513502376805,-1,-1,-1,-1,-1,-1,-1,2,1
1513502601481,-1,-1,2,2,2,2,2,2,1
1513502774227,-1,-1,2,-1,2,-1,2,2,1
1513502940913,-1,-1,-1,-1,-1,-1,2,2,1
1513504298736,-1,-1,3,-1,3,2,2,2,1
1513511281511,-1,-1,2,2,2,2,2,2,1
1513516596664,-1,-1,2,3,3,2,2,2,0
1513519566811,-1,2,2,2,2,-1,2,2,1
1513523728122,-1,-1,2,2,2,2,2,2,1
1513523748622,-1,-1,2,2,2,2,2,2,1
1513524236701,-1,-1,2,2,2,2,2,2,1
1513524252869,-1,-1,2,2,2,2,2,2,1
1513524967148,-1,-1,3,2,2,2,3,2,1
1513583741830,-1,-1,2,2,2,2,2,2,1
1513585303592,-1,-1,2,2,2,2,2,2,0
1513588180086,-1,-1,2,2,2,2,1,2,1
1513593917093,-1,-1,-1,-1,2,2,2,2,1
1513595845043,-1,-1,2,2,2,2,2,2,1
1513595865467,-1,-1,2,2,2,2,2,2,1
1513595892084,-1,-1,2,2,2,2,2,2,1
1513595917966,-1,-1,2,2,2,2,2,2,1
1513595942797,-1,-1,2,2,2,2,2,2,0
1513595968531,-1,-1,2,2,2,2,2,2,1
1513595993288,-1,-1,2,2,2,2,2,2,1
1513596017365,-1,-1,2,2,2,2,2,2,1
1513596042685,-1,-1,2,2,2,2,2,2,1
1513596116574,-1,-1,2,2,2,2,2,2,0
1513596166815,-1,-1,2,2,2,2,2,2,0
1513596200624,-1,-1,2,2,2,2,2,2,1
1513596224591,-1,-1,2,2,2,2,2,2,1
1513596246361,-1,-1,2,2,2,2,2,2,1
1513596299089,-1,-1,2,2,2,2,2,2,1
1513596326126,-1,-1,2,2,2,2,2,2,1
1513596396444,-1,-1,2,2,2,2,2,2,1
1513596423274,-1,-1,2,2,2,2,2,2,1
1513596457252,-1,-1,2,2,2,2,2,2,1
1513596505767,-1,-1,2,2,2,2,2,2,1
1513596591532,-1,-1,2,2,2,2,2,2,1
1513596613354,-1,-1,2,2,2,2,2,2,1
1513596635693,-1,-1,2,2,2,2,2,2,0
1513596658587,-1,-1,2,2,2,2,2,2,1
1513596682746,-1,-1,2,2,2,2,2,2,1
1513596733787,-1,-1,2,2,2,2,2,2,1
1513596756435,-1,-1,2,2,2,2,2,2,0
1513596778953,-1,-1,2,2,2,2,2,2,1
1513596801401,-1,-1,2,2,2,2,2,2,1
1513596859142,-1,-1,2,2,2,2,2,2,1
