EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1514100635135,3,3,3,3,2,2,2,2,1
1514104860406,3,3,3,2,2,2,3,2,1
1514106540729,3,3,3,3,3,3,3,2,1
1514107446421,3,3,2,3,2,3,2,3,1
1514107821278,3,3,2,3,3,3,2,2,1
1514118737755,3,3,2,3,2,2,3,2,1
1514126291030,3,3,3,2,3,2,3,3,1
1514184739138,3,3,3,2,2,2,2,2,1
1514188126591,3,3,2,3,2,2,2,2,1
1514189707247,3,3,3,2,2,3,3,2,0
1514190051921,3,3,3,3,2,2,2,2,1
1514190244168,3,3,3,3,3,2,3,2,1
1514190806418,3,3,3,2,2,3,3,2,0
1514191215580,3,3,3,2,2,2,2,2,1
1514192545890,3,3,2,3,3,2,3,2,1
1514192573028,3,3,3,3,3,3,3,3,1
1514193321253,3,3,3,2,2,2,2,2,1
1514193514607,3,3,3,3,3,3,2,3,0
1514193729666,3,3,3,2,2,2,2,2,1
1514194913682,3,3,2,3,3,3,3,3,1
1514195427505,3,3,2,3,2,2,2,2,1
1514196723756,3,3,3,3,3,3,3,3,0
1514197795337,3,3,3,3,2,3,2,2,1
1514204252238,3,3,3,2,2,2,2,2,0
1514204512773,3,3,3,3,3,3,3,2,0
1514210712961,3,3,3,3,3,2,2,2,1
1514212260509,3,3,3,2,3,3,3,3,1
1514221140607,3,3,3,2,2,3,2,3,1
1514222180451,3,3,2,2,3,3,2,2,1
1514275982594,3,3,3,3,2,3,2,2,1
1514280056279,3,3,3,3,3,2,2,2,1
1514285700132,3,3,3,3,2,3,2,2,1
1514287486037,3,3,3,2,2,3,3,2,1
1514294023598,3,3,3,3,2,2,2,3,0
1514296416906,3,3,3,3,3,3,2,3,1
1514359863843,3,3,3,2,3,3,2,2,1
1514361055921,3,3,3,3,3,2,2,2,1
1514365511843,3,3,3,2,2,2,2,2,1
1514367246319,3,3,3,3,3,3,2,3,0
1514370205584,3,3,3,3,3,2,2,2,1
1514373277333,2,2,2,2,2,2,2,2,1
1514376269899,3,3,3,3,2,3,2,2,0
1514376503211,3,3,3,2,2,3,2,3,0
1514376776363,3,3,3,3,3,3,3,2,0
1514378043996,3,3,2,3,3,2,3,2,0
1514378394519,3,3,3,3,2,2,2,2,0
1514378424006,3,3,3,3,3,3,3,3,0
1514378697708,3,3,3,3,3,3,2,3,0
1514379026419,3,3,3,3,3,3,3,2,0
1514379384454,3,3,3,3,3,3,3,2,0
1514379657807,3,3,3,2,3,2,3,2,0
1514380958582,3,3,3,3,3,2,2,2,1
1514382606533,3,3,2,2,2,3,2,3,1
1514385490802,3,3,3,3,2,2,2,2,1
1514385632324,3,3,3,2,3,3,3,3,1
1514387755383,3,3,3,3,3,2,2,2,1
1514388039438,3,3,3,3,3,3,2,3,0
1514388274178,3,3,3,3,3,3,3,3,0
1514388547399,3,3,3,3,3,3,2,3,0
1514388782635,3,3,3,3,3,3,3,2,0
1514388988801,3,3,3,2,3,2,2,2,0
1514389257107,3,3,3,3,3,3,3,3,0
1514389596534,3,3,2,2,2,2,2,2,0
1514389949154,3,3,3,3,3,3,3,3,0
1514390217326,3,3,3,2,2,3,2,3,0
1514396342286,3,3,3,3,2,2,2,2,1
1514445371560,3,3,3,3,2,3,2,2,1
1514446678063,3,3,3,3,3,2,2,2,0
1514447131929,3,3,3,3,3,2,3,2,1
1514448068126,3,3,3,3,3,3,3,2,0
1514448533913,3,3,3,3,3,3,3,2,0
1514448806781,3,3,3,2,2,2,2,2,0
1514450183876,3,3,3,3,3,3,2,2,1
1514450674254,3,3,3,3,3,3,2,3,0
1514450947068,3,3,3,3,3,3,2,3,0
1514451220469,3,3,2,3,2,3,2,3,0
1514451381598,3,3,3,3,3,2,2,2,1
1514451440979,3,3,3,3,2,2,2,2,1
1514453078708,3,3,3,3,2,2,2,3,0
1514453203982,3,3,3,3,3,2,2,2,1
1514453691876,3,3,3,3,2,3,2,2,0
1514457611696,3,3,3,3,3,3,2,2,0
1514462101368,3,3,3,2,3,2,2,2,1
1514467342411,3,3,3,3,3,3,2,2,1
1514467893617,3,3,2,3,2,3,2,2,1
1514470664065,3,3,2,3,2,3,2,2,1
1514471216551,3,3,3,3,3,3,2,3,1
1514471695205,3,3,3,2,3,3,2,2,1
1514474041142,3,3,2,2,2,3,2,3,0
1514531799973,3,3,2,3,2,2,2,2,1
1514532411208,3,3,3,3,2,2,2,2,1
1514581848719,3,3,3,3,3,2,2,2,1
1514625235739,3,3,2,3,2,3,3,3,1
1514672475629,3,3,3,3,2,3,2,2,2
1514697487960,3,3,3,3,2,3,2,2,2
1514698865384,3,3,3,3,3,3,2,2,2
1514700683230,3,3,3,3,3,3,2,3,2
1514700927869,3,3,3,3,3,3,3,3,2
1514700928997,3,3,3,2,2,2,3,2,2
1514701012167,3,3,3,2,2,2,3,2,2
1514701017165,3,3,3,3,3,3,2,2,2
1514701097303,3,3,3,3,2,2,2,2,3
1514701782716,3,3,3,3,3,3,3,3,2
1514701784877,3,3,3,2,3,2,2,2,2
1514701881570,3,3,3,3,3,3,2,3,2
1514702510198,3,3,3,3,2,2,2,2,2
1514702739417,3,3,2,2,3,2,2,2,2
1514702857914,3,3,3,2,3,2,2,2,2
1514702936717,3,3,3,3,3,3,2,2,2
1514703025104,3,3,3,3,3,3,3,2,2
1514703290118,3,3,3,2,2,2,2,2,3
1514703338382,3,3,3,3,3,3,2,2,2
1514703384254,3,3,3,3,3,3,2,2,2
1514703384371,3,3,3,2,2,2,2,2,2
1514703422863,3,3,3,3,3,3,3,2,2
1514703531927,3,3,3,3,2,2,3,2,2
1514703546403,3,3,3,3,3,3,2,2,2
1514703715914,3,3,3,3,3,3,3,3,3
1514703727732,3,3,3,3,3,3,2,2,2
1514703776487,3,3,3,3,3,3,3,2,2
1514703829601,3,3,3,3,3,3,2,3,2
1514703923927,3,3,3,3,3,3,2,2,2
1514704018987,3,3,3,3,3,3,2,2,2
1514704265045,3,3,3,3,3,3,2,2,2
1514704335582,3,3,3,3,3,3,2,3,2
1514704403246,3,3,3,3,3,3,2,2,2
1514704422510,3,3,3,3,3,3,3,3,2
1514704453756,3,3,3,3,3,2,2,2,3
1514704465208,3,3,3,3,3,3,2,2,2
1514704469974,3,3,3,3,3,2,2,2,3
1514704478322,3,3,3,3,3,3,2,2,2
1514704510756,3,3,3,3,2,2,2,3,2
1514704535663,3,3,3,3,3,3,2,2,2
1514704569272,3,3,3,2,2,3,3,2,2
1514704577279,3,3,3,3,3,3,3,2,2
1514704578277,3,3,3,2,2,2,2,3,2
1514704595312,3,3,3,3,3,3,2,2,2
1514704783626,3,3,3,3,3,2,2,2,2
1514704910235,3,3,3,3,3,3,2,2,2
1514705084638,3,3,3,3,3,2,3,2,2
1514705096007,3,3,3,3,3,2,2,2,2
1514705115146,3,3,3,3,3,3,2,2,2
1514705160193,3,3,3,3,3,3,2,2,2
1514705234351,3,3,3,3,2,2,2,2,2
1514705291840,3,3,3,3,3,3,3,2,2
1514705302714,3,3,2,3,3,3,3,2,2
1514705331270,3,3,2,2,2,2,3,3,3
1514705337648,3,3,3,3,3,3,3,3,3
1514705367319,3,3,3,2,2,2,2,2,2
1514705459525,3,3,3,3,3,3,3,2,3
1514705475119,3,3,3,3,3,3,2,2,2
1514705505478,3,3,2,3,3,3,3,3,2
1514705505731,3,3,3,2,2,2,3,2,2
1514705539728,3,3,3,3,3,2,3,2,2
1514705717338,3,3,3,3,2,2,2,2,1
1514705819959,3,3,3,3,3,2,2,2,3
1514705897755,3,3,3,3,3,3,2,2,2
1514705949352,3,3,3,2,3,3,2,2,2
