EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_CALLS
1507481245257,-1,-1,-1,2,1
1507481489108,-1,-1,-1,0,1
1507481567018,-1,-1,2,2,1
1507481574993,-1,-1,-1,1,0
1507481587974,-1,-1,-1,0,0
1507481588721,-1,-1,2,1,0
1507481596297,-1,-1,2,0,0
1507481980539,-1,-1,2,2,1
1507484388083,-1,-1,-1,2,1
1507484445896,-1,-1,2,2,0
1507484467063,-1,-1,2,1,1
1507484485595,-1,1,2,0,1
1507484487994,-1,-1,2,2,0
1507484497970,-1,-1,-1,2,1
1507484505898,-1,-1,2,0,0
1507484516326,-1,-1,2,2,0
1507484556144,-1,-1,-1,0,0
1507484567581,-1,-1,-1,0,0
1507484576883,-1,-1,2,0,0
1507484577751,-1,-1,2,1,0
1507484660467,-1,-1,-1,1,1
1507484668498,-1,2,2,2,0
1507484850145,-1,-1,-1,2,1
1507484931466,-1,-1,2,2,1
1507484962091,-1,-1,2,2,1
1507485938371,-1,-1,2,2,1
1507486183222,-1,-1,2,2,1
1507486497821,-1,-1,2,2,1
1507486942623,-1,-1,-1,-1,1
1507486993535,-1,-1,-1,-1,1
1507487118345,-1,-1,-1,-1,1
1507487318586,-1,-1,-1,2,1
1507487378675,-1,-1,-1,1,1
1507487399645,-1,-1,-1,-1,0
1507487419045,-1,-1,-1,0,1
1507487420322,-1,-1,-1,0,0
1507487429095,-1,-1,-1,0,0
1507487448308,-1,-1,2,2,0
1507487460650,-1,-1,2,2,0
1507487468685,-1,-1,-1,0,0
1507487471087,-1,-1,2,0,0
1507487750198,-1,-1,2,1,1
1507487750846,-1,1,2,2,0
1507487759973,-1,-1,-1,2,1
1507490268862,-1,-1,-1,0,1
1507490642255,-1,-1,-1,0,0
1507490650594,-1,-1,-1,-1,0
1507490662171,-1,-1,2,2,1
1507490691419,-1,-1,-1,2,1
1507493149679,-1,-1,-1,0,0
1507493157694,-1,-1,-1,0,0
1507493167983,-1,-1,2,0,0
1507493168585,-1,-1,-1,0,1
1507493177924,-1,-1,-1,0,0
1507493190392,-1,-1,2,0,0
1507493200631,-1,-1,-1,0,0
1507493208267,-1,2,2,0,0
1507493210773,-1,-1,-1,0,0
1507493218515,-1,-1,2,0,0
1507493219546,-1,-1,2,0,0
1507493238807,-1,-1,-1,-1,0
1507493261375,-1,-1,2,2,0
1507493271620,-1,-1,2,2,0
1507493279681,-1,-1,2,0,0
1507493280406,-1,-1,-1,1,0
1507493284553,-1,-1,-1,0,0
1507493291537,-1,-1,-1,0,0
1507493302167,-1,-1,-1,0,0
1507493310755,-1,-1,-1,0,0
1507493371191,-1,-1,-1,-1,1
1507493371195,-1,-1,2,2,0
1507493383859,-1,-1,2,2,0
1507493552758,-1,-1,2,2,1
1507493552917,-1,-1,-1,2,0
1507494962723,-1,-1,-1,-1,1
1507494969705,-1,-1,2,2,1
1507495881194,-1,-1,2,0,1
1507496058723,-1,-1,-1,1,0
1507496067897,-1,-1,-1,1,0
1507496079096,-1,-1,-1,0,1
1507496080383,-1,-1,-1,1,0
1507496149125,-1,-1,-1,2,1
1507496168402,-1,-1,-1,2,1
1507496170498,-1,-1,2,0,0
1507496171395,-1,-1,2,0,1
1507496178560,-1,-1,-1,-1,1
1507496191613,-1,-1,2,2,0
1507496199038,-1,-1,-1,0,1
1507496199759,-1,-1,2,0,0
1507496201779,-1,-1,2,2,0
1507496220076,-1,-1,2,2,0
1507496221058,-1,-1,2,2,0
1507496231237,-1,-1,2,0,0
1507496239492,-1,-1,2,2,1
1507497519099,-1,-1,-1,-1,1
1507497831013,-1,-1,-1,-1,1
1507498598143,-1,-1,2,2,0
1507498717792,-1,-1,-1,0,1
1507498727946,-1,-1,-1,0,1
1507498729726,-1,-1,-1,0,1
1507498750196,-1,-1,2,0,0
1507499018242,-1,-1,-1,-1,1
1507499058704,-1,-1,2,2,1
1507499060793,-1,-1,-1,-1,0
1507499062363,-1,-1,-1,0,1
1507501536889,-1,-1,-1,0,0
1507501553437,-1,-1,-1,0,0
1507501553537,-1,-1,-1,-1,0
1507501557273,-1,-1,2,2,0
1507501578540,-1,2,0,0,0
1507501579958,-1,2,0,0,1
1507501597691,-1,-1,-1,2,0
1507501921092,-1,-1,-1,2,1
1507501922106,-1,-1,2,2,1
1507501929218,-1,-1,-1,0,1
1507501931631,-1,-1,2,2,0
1507504429048,-1,-1,-1,1,0
1507504436956,-1,-1,2,2,1
1507504447073,-1,-1,2,2,0
1507504448833,-1,-1,2,2,0
1507504459640,-1,-1,2,2,0
1507504460144,-1,-1,2,2,0
1507504467325,-1,-1,2,0,1
1507504477660,-1,-1,2,2,0
1507504480268,-1,-1,-1,0,0
1507504489416,-1,-1,2,1,1
1507504500078,-1,-1,2,2,1
1507504500126,-1,-1,2,0,0
1507504500964,-1,-1,-1,-1,1
1507504508077,-1,-1,2,0,1
1507504530272,-1,-1,-1,0,1
1507504530655,-1,-1,2,2,0
1507504531049,-1,-1,2,2,0
1507504540434,-1,-1,2,2,0
1507504560909,-1,-1,-1,-1,0
1507504561527,-1,-1,-1,2,0
1507504569094,-1,-1,-1,0,1
1507504571023,-1,-1,2,2,0
1507506946200,-1,-1,-1,0,0
1507506947761,-1,-1,2,0,0
1507506956317,-1,-1,-1,0,1
1507506966585,-1,-1,-1,0,1
1507506976988,-1,-1,2,0,0
1507506995994,-1,-1,2,2,0
