EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_CALLS
1518603812418,3,3,3,3,2,2,2,2
1518603879918,3,3,3,3,0,2,0,2
1518603909691,3,3,3,3,2,2,2,3
1518603960711,3,3,2,3,3,2,2,2
1518603961848,3,3,2,3,2,2,2,2
1518603994208,3,3,3,2,2,3,2,3
1518604000337,3,3,2,3,2,3,2,2
1518604020319,3,3,3,2,2,2,2,3
1518604030827,3,3,3,2,3,2,2,2
1518604032158,3,3,3,3,2,2,2,2
1518604045679,3,3,3,3,3,3,3,2
1518604060514,3,3,3,3,0,2,2,2
1518604083968,3,3,3,3,3,3,0,2
1518604106815,3,3,3,3,2,2,2,3
1518604146347,3,3,3,3,2,2,2,2
1518604152417,3,3,3,3,3,3,2,2
1518604261547,3,3,3,2,3,2,2,3
1518604274254,3,3,3,3,3,3,2,2
1518604274473,3,3,3,3,2,2,2,2
1518604358301,3,3,3,2,3,2,2,3
1518604370663,3,3,3,3,0,2,2,2
1518604392441,3,3,3,3,2,2,2,2
1518604421386,3,3,3,2,2,3,2,3
1518604450361,3,3,3,3,3,2,2,2
1518604558506,3,3,3,3,2,2,2,3
1518604605242,3,3,3,3,3,3,3,2
1518604628279,3,3,3,3,3,3,3,2
1518604634362,3,3,2,3,2,2,2,2
1518604656026,3,3,3,3,2,2,2,2
1518604757762,3,3,3,3,2,2,2,2
1518604816009,3,3,2,3,2,2,2,2
1518604824789,3,3,3,2,2,2,2,2
1518604831708,3,3,2,2,2,2,3,3
1518604845658,3,3,3,3,1,2,1,2
1518604846634,3,3,3,3,2,2,2,2
1518604868207,3,3,3,3,3,3,2,2
1518604890489,3,3,3,3,0,2,0,2
1518604891158,3,3,3,3,3,3,3,2
1518604892345,3,3,3,3,3,2,2,2
1518604929054,3,3,3,3,2,2,2,2
1518604981533,3,3,3,2,3,2,2,2
1518604994110,3,3,2,3,2,2,2,3
1518605005581,3,3,3,3,2,2,2,2
1518605012387,3,3,3,2,2,2,2,3
1518605017321,3,3,3,3,2,2,2,3
1518605051477,3,3,3,2,2,2,2,2
1518605052644,3,3,3,3,2,2,2,2
1518605187203,3,3,3,3,3,3,1,2
1518605274919,3,3,3,2,2,2,2,3
1518605311288,3,3,3,2,2,3,2,3
1518605333582,3,3,3,2,2,3,2,3
1518605428393,3,3,3,3,3,3,2,2
1518605434886,3,3,3,2,3,2,2,3
1518605439880,3,3,3,3,2,2,2,2
1518605444705,3,3,3,3,3,3,3,2
1518605445775,3,3,3,3,3,3,2,3
1518605483124,3,3,3,2,2,2,2,2
1518605502868,3,3,2,3,3,2,2,2
1518605509963,3,3,3,3,2,2,2,2
1518605525981,3,3,3,3,3,3,2,2
1518605539866,3,3,3,3,2,2,2,2
1518605628445,3,3,3,3,2,3,2,2
1518605654380,3,3,3,3,3,3,3,2
1518605719207,3,3,2,3,2,2,2,2
1518605732278,3,3,3,2,2,3,2,3
1518605755814,3,3,3,3,3,3,2,2
1518605796373,3,3,3,3,2,2,2,3
1518605797880,3,3,2,3,1,2,2,2
1518605818304,3,3,3,3,3,2,2,2
1518605824241,3,3,2,3,2,2,2,2
1518605835071,3,3,3,3,3,2,2,2
1518605862587,3,3,3,3,2,2,2,2
1518605877114,3,3,3,3,3,3,3,2
1518605880386,3,3,2,2,2,2,3,3
1518605900120,3,3,3,3,2,2,2,2
1518605902069,3,3,3,2,2,3,2,3
1518605916872,3,3,3,2,2,3,2,3
1518605922045,3,3,3,3,2,2,2,2
1518605951207,3,3,2,3,2,2,2,0
1518605965303,3,3,3,3,2,2,2,2
1518605977350,3,3,3,3,3,3,3,2
1518606063587,3,3,3,3,3,3,2,2
1518606066628,3,3,3,3,3,3,3,2
