EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_CALLS
1516260614699,3,2
1516260622099,3,2
1516260644814,3,2
1516260658814,3,3
1516260693756,3,2
1516260744771,3,3
1516260757046,3,2
1516260802902,3,3
1516260818940,3,2
1516260893970,3,2
1516260913085,3,2
1516260944304,3,2
1516260956462,3,2
1516260966528,3,2
1516260968227,3,2
1516261002217,3,2
1516261026004,3,2
1516261052335,3,2
1516261055399,3,3
1516261088787,3,3
1516261122247,3,2
1516261127417,3,0
1516261138314,3,1
1516261153162,3,3
1516261164204,3,2
1516261164774,3,2
1516261187997,3,3
1516261202455,3,2
1516261238725,3,2
1516261239669,3,2
1516261252283,3,2
1516261259301,3,2
1516261302391,3,2
1516261302862,3,2
1516261337198,3,3
1516261348480,3,3
1516261387118,3,2
1516261403601,3,3
1516261417439,3,2
1516261444843,3,2
1516261517965,3,2
1516261573896,3,1
1516261607767,3,1
1516261689240,3,2
1516261725616,3,3
1516261726147,3,3
1516261748496,3,3
1516261759396,3,3
1516261765512,3,3
1516261776036,3,2
1516261824468,3,2
1516261825595,3,2
1516261836675,3,3
1516261871098,3,3
1516261901252,3,2
1516261917175,3,2
1516261947531,3,2
1516261948952,3,3
1516261951415,3,2
1516261974492,3,2
1516262034165,3,2
1516262059412,3,2
1516262073215,3,1
1516262090612,3,2
1516262097378,3,2
1516262097826,3,3
1516262105112,3,2
1516262112890,3,3
1516262134912,3,2
1516262159764,3,3
1516262185995,3,3
1516262214675,3,3
1516262225281,3,2
1516262239070,3,2
1516262273281,3,2
1516262304866,3,2
1516262362658,3,3
1516262381866,3,3
1516262397406,3,2
1516262403088,3,3
1516262483472,3,2
1516262525606,3,2
1516262552694,3,2
1516262587862,3,3
1516262625075,3,3
1516262636718,3,2
1516262671383,3,2
1516262714556,3,2
1516262743669,3,2
1516262821401,3,3
1516262831333,3,2
1516262846429,3,3
1516262857442,3,2
1516262858115,3,2
1516262867241,3,2
1516262867357,3,2
1516262868976,3,2
1516262871557,3,2
1516262909889,3,2
1516262919270,3,2
1516262938844,3,2
1516262980800,3,2
1516262989503,3,3
1516263001482,3,3
1516263010563,3,2
1516263027311,3,3
1516263035535,3,2
1516263036699,3,3
1516263037533,3,2
1516263053388,3,2
1516263064616,3,2
1516263078797,3,3
1516263095268,3,2
1516263097785,3,2
1516263101542,3,3
1516263113476,3,2
1516263114591,3,2
1516263131105,3,3
1516263131570,3,2
1516263158903,3,2
1516263195948,3,3
1516263196265,3,2
1516263197375,3,3
1516263205820,3,3
1516263206918,3,3
1516263296492,3,2
1516263362000,3,2
1516263363104,3,2
1516263388831,3,2
1516263453463,3,3
1516263500117,3,2
1516263539952,3,2
1516263568242,3,3
1516263605214,3,2
1516263606087,3,2
1516263622179,3,2
1516263623546,3,1
1516263644849,3,3
1516263662715,3,3
1516263673305,3,2
1516263678496,3,2
1516263720532,3,2
1516263735433,3,2
1516263773892,3,3
1516263799259,3,3
1516263810099,3,3
1516263852069,3,3
1516263895809,3,2
1516263896898,3,3
1516263899137,3,2
1516263911916,3,2
1516263950040,3,3
1516263960731,3,2
1516263990920,3,2
1516263996688,3,2
1516264012461,3,2
1516264016105,3,3
1516264016371,3,2
1516264038036,3,2
1516264057289,3,2
1516264072436,3,2
1516264073608,3,3
1516264137013,3,2
1516264138533,3,2
1516264149903,3,3
1516264160663,3,3
1516264171513,3,2
1516264179720,3,3
1516264197895,3,2
1516264199018,3,2
1516264200325,3,2
1516264204240,3,2
1516264222378,3,2
1516264223537,3,3
1516264236892,3,2
1516264246499,3,2
1516264276928,3,3
1516264283017,3,3
1516264324479,3,2
1516264325160,3,3
1516264393509,3,2
1516264397897,3,2
1516264400535,3,2
